UDI,Product_ID,Type,Air_temperature_K_,Process_temperature_K_,Rotational_speed_rpm_,Torque_Nm_,Tool_wear_min_,Failure_Type
1049,SM 4,L,296.5,307.6,1607,33.5,104,No Failure
1050,SM 4,L,296.5,307.6,1415,44.2,106,No Failure
1051,SM 4,L,296.6,307.6,1671,28.8,108,No Failure
1052,SM 4,L,296.6,307.7,1556,37.7,110,No Failure
1053,SM 4,L,296.7,307.7,1927,23.9,112,No Failure
1054,NED 15,M,296.7,307.7,1597,32.1,114,No Failure
1055,SM 1,H,296.8,307.8,1627,30.5,117,No Failure
1056,SM 4,L,296.8,307.8,1480,39.4,122,No Failure
1057,SM 4,L,296.8,307.8,1565,39.5,124,No Failure
1058,SM 4,L,296.8,307.8,1573,36.4,126,No Failure
1059,SM 4,L,296.7,307.8,1605,31.3,128,No Failure
1060,M15092,M,296.7,307.9,1874,21.3,130,No Failure
1061,SM 1,H,296.7,307.9,1424,53.8,133,No Failure
1062,SM 4,L,296.7,307.9,1420,50.1,138,No Failure
1063,SM 4,L,296.8,307.9,1372,49,140,No Failure
1064,NED 15,M,296.8,307.8,1664,32.8,142,No Failure
1065,NED 15,M,296.8,307.9,1409,44.3,145,No Failure
1066,SM 4,L,296.8,307.9,1718,25.2,148,No Failure
1067,NED 15,M,296.9,307.8,1544,40.3,150,No Failure
1068,SM 4,L,296.9,307.8,1466,45.7,153,No Failure
1069,SM 4,L,296.8,307.8,1394,47.7,155,No Failure
1070,NED 15,M,296.9,307.8,1840,24.6,157,No Failure
1071,NED 15,M,296.9,307.8,1477,37.2,160,No Failure
1072,SM 4,L,296.9,307.8,1425,49.1,163,No Failure
1073,NED 15,M,297,307.9,1414,46.2,165,No Failure
1074,SM 4,L,297,307.8,1414,47.5,168,No Failure
1075,SM 4,L,297,307.9,1595,31.7,170,No Failure
1076,SM 1,H,296.9,307.8,1345,54.5,172,No Failure
1077,SM 4,L,296.9,307.7,1653,35.9,177,No Failure
1078,SM 4,L,296.8,307.6,1547,36.5,179,No Failure
1079,SM 1,H,296.9,307.7,1656,30.8,181,No Failure
1080,SM 4,L,297,307.7,1731,28.5,186,No Failure
1081,SM 4,L,297,307.8,1774,28,188,No Failure
1082,SM 4,L,297,307.8,1521,40.2,190,No Failure
1083,SM 1,H,297.1,307.9,1420,39.8,192,No Failure
1084,SM 4,L,297,307.8,1683,32.3,197,No Failure
1085,M15093,M,297,307.7,1498,47.1,199,No Failure
1086,SM 4,L,297,307.8,1385,56.4,202,Overstrain Failure
1087,SM 4,L,297,307.9,1455,49,204,No Failure
1089,NED 15,M,296.9,307.8,1392,43.9,0,No Failure
1090,NED 15,M,296.9,307.7,2008,17.5,3,No Failure
1091,SM 4,L,296.9,307.7,1464,41.4,6,No Failure
1092,SM 4,L,297,307.7,1447,46.4,8,No Failure
1093,NED 15,M,296.9,307.6,1685,32,10,No Failure
1094,NED 15,M,296.8,307.5,1443,39.2,13,No Failure
1095,SM 4,L,296.9,307.5,1354,44.4,16,No Failure
1096,SM 4,L,296.9,307.5,2721,9.3,18,Power Failure
1097,SM 4,L,297,307.6,1680,35.8,20,No Failure
1098,SM 1,H,296.9,307.5,1397,48.3,22,No Failure
1099,NED 15,M,296.9,307.4,1521,37.9,27,No Failure
1100,NED 15,M,296.8,307.4,1472,43.9,30,No Failure
1101,SM 1,H,296.8,307.5,1695,30,33,No Failure
1102,SM 1,H,296.7,307.5,1607,33.6,38,No Failure
1103,SM 4,L,296.8,307.5,1347,54.8,43,No Failure
1104,M15094,M,296.7,307.4,1540,38.7,45,No Failure
1105,SM 4,L,296.6,307.4,1389,42.7,48,No Failure
1106,NED 15,M,296.6,307.5,1734,27,50,No Failure
1107,SM 4,L,296.7,307.6,1540,38.6,53,No Failure
1108,NED 15,M,296.7,307.5,1515,42.1,55,No Failure
1109,SM 4,L,296.6,307.4,1504,45.8,58,No Failure
1110,SM 4,L,296.6,307.5,1557,35.1,60,No Failure
1111,SM 4,L,296.5,307.4,1292,52.5,62,No Failure
1112,SM 1,H,296.5,307.4,1432,49.2,64,No Failure
1113,NED 15,M,296.5,307.4,1350,55.6,69,No Failure
1114,NED 15,M,296.6,307.4,1790,25.8,72,No Failure
1115,SM 1,H,296.4,307.3,1540,37.4,75,No Failure
1116,NED 15,M,296.4,307.3,2077,19.1,80,No Failure
1117,SM 4,L,296.4,307.3,1487,37.5,83,No Failure
1118,SM 4,L,296.5,307.4,1523,40.7,85,No Failure
1119,SM 4,L,296.5,307.5,1443,41.8,87,No Failure
1120,SM 4,L,296.5,307.5,1340,59.1,89,No Failure
1121,SM 1,H,296.6,307.7,1654,31,91,No Failure
1122,SM 4,L,296.6,307.6,1459,40.2,96,No Failure
1123,SM 4,L,296.5,307.6,1541,38.5,98,No Failure
1124,SM 1,H,296.6,307.7,1386,62.3,100,Power Failure
1125,NED 15,M,296.7,307.8,1258,69,105,Power Failure
1126,M15095,M,296.7,307.8,1375,51.4,108,No Failure
1127,SM 4,L,296.8,307.9,1706,30.8,111,No Failure
1128,NED 15,M,296.7,307.8,1672,32.4,113,No Failure
1129,NED 15,M,296.8,307.9,1843,25.2,116,No Failure
1130,SM 4,L,296.7,307.9,1690,29.6,119,No Failure
1131,SM 4,L,296.8,307.9,1413,46.5,121,No Failure
1132,SM 4,L,296.8,307.9,1489,33.4,123,No Failure
1133,SM 4,L,296.8,307.9,1271,61.4,125,No Failure
1134,NED 15,M,296.8,307.9,1418,47.9,127,No Failure
1135,NED 15,M,296.9,307.8,1426,50.7,130,No Failure
1136,SM 4,L,296.9,307.9,1535,39.2,133,No Failure
1137,SM 4,L,296.9,307.8,1557,38.1,135,No Failure
1138,SM 4,L,296.9,307.8,1653,29.7,137,No Failure
1139,SM 4,L,296.9,307.9,1435,41.6,139,No Failure
1140,NED 15,M,297,307.9,1569,33.3,141,No Failure
1141,NED 15,M,296.9,307.9,1385,44.8,144,No Failure
1142,SM 4,L,297,307.9,1635,31.6,147,No Failure
1143,SM 4,L,296.9,307.9,1423,43.9,149,No Failure
1144,SM 4,L,297,307.9,1479,39.2,151,No Failure
1145,SM 4,L,297,307.9,1296,69.1,153,Power Failure
1146,SM 4,L,297,307.8,1553,33.3,155,No Failure
1147,SM 4,L,297,307.9,1529,42.2,157,No Failure
1148,M15096,M,297.1,308,1690,25.6,159,No Failure
1149,SM 4,L,297.1,308,1348,58,162,No Failure
1150,SM 4,L,297.2,308.1,1446,38.5,164,No Failure
1151,SM 4,L,297.1,307.9,1456,50,166,No Failure
1152,SM 4,L,297,307.9,1350,47.7,168,No Failure
1153,SM 4,L,297.1,307.9,1507,38.3,170,No Failure
1154,SM 1,H,297,307.9,1448,45.6,172,No Failure
1155,SM 4,L,296.9,307.9,1626,29.9,177,No Failure
1156,SM 1,H,297,307.9,1846,27.3,179,No Failure
1157,SM 1,H,297,307.8,1404,40.7,184,No Failure
1158,SM 4,L,297,307.8,1583,37.2,189,No Failure
1159,SM 4,L,297,307.9,1436,47.7,191,No Failure
1160,SM 4,L,297,307.8,1609,35.6,193,No Failure
1161,SM 1,H,297,307.7,1834,23.8,195,No Failure
1162,SM 4,L,297,307.8,1316,61.2,200,Overstrain Failure
1163,SM 4,L,296.9,307.8,1400,57.1,202,Overstrain Failure
1164,SM 4,L,296.9,307.9,1367,47.1,204,No Failure
1165,SM 4,L,297.1,308.1,1754,30.3,206,No Failure
1166,SM 4,L,297.1,308.1,1487,34.6,208,No Failure
1167,NED 15,M,297.1,308.1,1506,37.7,210,No Failure
1168,SM 4,L,297,308.1,1362,52.5,213,Overstrain Failure
1169,SM 4,L,297.1,308.1,1584,36.8,215,No Failure
1170,SM 4,L,297,308.1,1355,43.7,217,No Failure
1171,NED 15,M,297.1,308.1,1823,24.3,219,No Failure
1172,SM 1,H,297,308.1,1517,41.4,222,No Failure
1173,SM 4,L,297.1,308.1,1446,36.6,227,No Failure
1174,SM 1,H,297.1,308,1559,38.8,229,No Failure
1175,NED 15,M,297.1,308.1,1352,44.4,0,No Failure
1176,NED 15,M,297.2,308.3,1578,37.8,3,No Failure
1177,NED 15,M,297.2,308.3,1429,42,6,No Failure
1178,NED 15,M,297.2,308.3,1604,39.4,9,No Failure
1179,SM 4,L,297.3,308.5,1398,60.4,12,No Failure
1180,SM 4,L,297.3,308.4,1441,43.4,14,No Failure
1181,SM 1,H,297.3,308.4,1531,35.6,16,No Failure
1182,SM 4,L,297.2,308.3,1379,52.1,21,No Failure
1183,SM 4,L,297.3,308.3,1410,48.1,23,No Failure
1184,SM 4,L,297.3,308.4,1513,40.5,25,No Failure
1185,SM 4,L,297.3,308.5,1497,47.5,27,No Failure
1186,SM 4,L,297.3,308.4,1491,46.5,29,No Failure
1187,SM 4,L,297.3,308.4,1417,47.8,31,No Failure
1188,M15097,M,297.4,308.6,1522,38,33,No Failure
1189,SM 4,L,297.3,308.4,1339,52.1,36,No Failure
1190,NED 15,M,297.2,308.3,1794,27.5,38,No Failure
1191,SM 4,L,297.2,308.4,1460,42.1,41,No Failure
1192,NED 15,M,297.2,308.3,1776,28,43,No Failure
1193,NED 15,M,297.2,308.3,1431,43.7,46,No Failure
1194,SM 4,L,297.1,308.2,1347,50.8,49,No Failure
1195,NED 15,M,297,308.1,1507,43.1,51,No Failure
1196,NED 15,M,297,308,1408,47.9,54,No Failure
1197,NED 15,M,297,307.9,1493,34.7,57,No Failure
1198,M15098,M,296.9,307.9,1441,47.6,60,No Failure
1199,SM 1,H,296.9,307.9,1557,36.5,63,No Failure
1200,NED 15,M,296.9,307.9,1979,20.4,68,No Failure
1201,NED 15,M,296.9,308,1430,55.9,71,No Failure
1202,SM 4,L,296.9,308,1658,41,74,No Failure
1203,NED 15,M,297,308.1,1355,51.4,76,No Failure
1204,SM 1,H,297,308.1,1410,47.6,79,No Failure
1205,SM 4,L,296.9,308,1521,34.5,84,No Failure
1206,SM 4,L,296.8,308,1371,54.5,86,No Failure
1207,SM 1,H,296.9,308,1318,53.5,88,No Failure
1208,NED 15,M,297,308.1,1573,34.9,93,No Failure
1209,SM 4,L,297,308.1,1489,44.1,96,No Failure
1210,SM 1,H,297,308.1,2540,13.3,98,No Failure
1211,SM 4,L,297,308.1,1537,39,103,No Failure
1212,SM 1,H,296.9,308,1416,46.9,105,No Failure
1213,SM 4,L,296.9,307.9,1359,56.5,110,No Failure
1214,NED 15,M,296.8,307.8,1551,38.9,112,No Failure
1215,NED 15,M,296.8,307.8,1694,33,115,No Failure
1216,SM 4,L,296.8,307.9,1709,28.4,118,No Failure
1217,SM 4,L,296.9,308,1514,41,120,No Failure
1218,SM 4,L,297,308.1,1455,43.5,122,No Failure
1219,M15099,M,297,308.2,1702,30.7,124,No Failure
1220,NED 15,M,296.9,308.1,1357,41.8,127,No Failure
1221,SM 4,L,297,308.2,1577,29.4,130,No Failure
1223,SM 4,L,297,308.3,1399,59,135,No Failure
1224,SM 4,L,297,308.3,1492,48.1,137,No Failure
1225,SM 4,L,297.1,308.3,1763,25.7,139,No Failure
1226,SM 1,H,297.1,308.3,1492,41.5,141,No Failure
1227,SM 4,L,297.1,308.4,1488,42.5,146,No Failure
1228,SM 4,L,297.1,308.4,1422,42.1,148,No Failure
1229,NED 15,M,297.1,308.4,1583,38.2,150,No Failure
1230,SM 4,L,297.1,308.4,1304,53.5,153,No Failure
1231,NED 15,M,297.1,308.4,1880,23.5,155,No Failure
1232,NED 15,M,297.2,308.5,1604,40.7,158,No Failure
1233,SM 4,L,297.2,308.6,1500,37.1,161,No Failure
1234,NED 15,M,297.2,308.5,1364,55.6,163,No Failure
1235,SM 1,H,297.2,308.5,2440,14,166,No Failure
1236,SM 1,H,297.1,308.4,1654,31.4,171,No Failure
1237,SM 1,H,297.1,308.4,1359,46.6,176,No Failure
1238,NED 15,M,297.1,308.4,1502,37.3,181,No Failure
1239,M15100,M,297.1,308.4,1615,32.6,184,No Failure
1240,SM 1,H,297.2,308.5,1482,39.3,187,No Failure
1241,SM 4,L,297.2,308.6,1636,31.3,192,No Failure
1242,NED 15,M,297.1,308.5,1621,32.4,194,No Failure
1243,SM 4,L,297.1,308.4,1468,44.4,197,No Failure
1244,NED 15,M,297.1,308.4,1432,53.4,199,No Failure
1245,SM 4,L,297.1,308.4,1726,28.4,202,No Failure
1246,NED 15,M,297.1,308.4,1588,33.4,204,No Failure
1247,SM 1,H,297.2,308.5,1653,33.3,207,No Failure
1248,SM 4,L,297.2,308.5,1513,42.9,212,No Failure
1249,SM 4,L,297.2,308.6,1489,40.2,214,No Failure
1250,SM 4,L,297.3,308.7,1467,36.8,216,No Failure
1251,SM 4,L,297.3,308.7,1549,36.1,218,No Failure
1252,NED 15,M,297.4,308.8,1359,48.7,220,No Failure
1253,SM 4,L,297.5,308.8,1533,41.5,223,No Failure
1254,SM 4,L,297.5,308.8,1309,57.3,0,No Failure
1255,SM 1,H,297.5,308.8,1430,49.4,2,No Failure
1256,SM 1,H,297.5,308.9,1419,50.7,7,No Failure
1257,NED 15,M,297.5,308.9,1535,37.7,12,No Failure
1258,SM 4,L,297.5,308.9,1466,43,15,No Failure
1259,SM 4,L,297.5,308.9,1427,50.4,17,No Failure
1260,NED 15,M,297.5,308.9,1280,48.5,19,No Failure
1261,SM 4,L,297.6,309,1528,33.8,22,No Failure
1262,SM 1,H,297.6,309,1885,25.2,24,No Failure
1263,SM 1,H,297.8,309.2,1648,33,29,No Failure
1264,SM 4,L,297.8,309.2,1400,56.9,34,No Failure
1265,M15101,M,297.8,309.3,2243,15.7,36,No Failure
1266,SM 4,L,297.9,309.4,1558,35.7,39,No Failure
1267,SM 4,L,298,309.6,1633,34.8,41,No Failure
1268,NED 15,M,298.1,309.6,1549,38.7,43,No Failure
1269,SM 4,L,298,309.5,1496,45.8,46,No Failure
1270,SM 4,L,298.1,309.5,1467,41.8,48,No Failure
1271,NED 15,M,298,309.4,1276,65.9,50,No Failure
1272,SM 1,H,298,309.4,1490,40.5,53,No Failure
1273,SM 1,H,298,309.4,1562,38.1,58,No Failure
1274,SM 4,L,298.1,309.4,1397,48.2,63,No Failure
1275,SM 1,H,298.1,309.5,1530,40.2,65,No Failure
1276,NED 15,M,298.1,309.4,1362,47.6,70,No Failure
1277,NED 15,M,298.2,309.4,1693,34.4,73,No Failure
1278,NED 15,M,298.2,309.4,1408,46.5,76,No Failure
1279,SM 4,L,298.2,309.4,1398,52.9,79,No Failure
1280,NED 15,M,298.3,309.6,1531,40.1,81,No Failure
1281,SM 1,H,298.3,309.5,1521,37.1,84,No Failure
1282,SM 1,H,298.3,309.5,1427,54.3,89,No Failure
1283,SM 4,L,298.3,309.4,1546,36.1,94,No Failure
1284,SM 4,L,298.3,309.4,1356,45.4,96,No Failure
1285,SM 4,L,298.4,309.5,2153,15.3,98,Power Failure
1286,M15102,M,298.5,309.6,1492,41.7,100,No Failure
1287,SM 4,L,298.5,309.6,1582,40.3,103,No Failure
1288,SM 4,L,298.5,309.6,1419,41.5,105,No Failure
1289,NED 15,M,298.5,309.6,1441,48.2,107,No Failure
1290,NED 15,M,298.6,309.7,1635,32.2,110,No Failure
1291,SM 4,L,298.6,309.7,1429,45.8,113,No Failure
1292,NED 15,M,298.6,309.7,1675,28.4,115,No Failure
1293,NED 15,M,298.7,309.7,1868,23.8,118,No Failure
1294,SM 1,H,298.7,309.8,1582,33.4,121,No Failure
1295,SM 4,L,298.8,309.9,1486,40.3,126,No Failure
1296,SM 4,L,298.7,309.8,1402,54.3,128,No Failure
1297,SM 4,L,298.7,309.9,1621,34.1,130,No Failure
1298,SM 4,L,298.8,309.9,1428,42.4,132,No Failure
1299,NED 15,M,298.7,309.8,1343,53.6,134,No Failure
1300,NED 15,M,298.7,309.9,1458,40.2,137,No Failure
1301,SM 4,L,298.7,309.8,1322,57,140,No Failure
1302,SM 4,L,298.7,309.9,1483,32.8,142,No Failure
1304,SM 4,L,298.7,309.9,1593,42.5,146,No Failure
1305,SM 4,L,298.8,310,2098,19.6,148,No Failure
1306,SM 4,L,298.8,310,1672,30.4,150,No Failure
1307,SM 4,L,298.8,310,1487,41.4,152,No Failure
1308,SM 4,L,298.8,310,1423,42.1,154,No Failure
1309,SM 4,L,298.9,310.1,1750,25,156,No Failure
1310,SM 4,L,298.9,310.2,1654,31.1,158,No Failure
1311,SM 4,L,298.9,310.2,1498,50.2,160,No Failure
1312,SM 4,L,298.9,310.1,1587,30.2,162,No Failure
1313,SM 4,L,298.9,310.1,1473,42.6,164,No Failure
1314,SM 4,L,298.9,310.2,1359,56.9,166,No Failure
1315,M15103,M,299,310.3,1635,34.5,168,No Failure
1316,SM 4,L,299,310.3,1520,45,171,No Failure
1317,SM 4,L,299,310.3,1507,36.7,173,No Failure
1318,SM 4,L,299,310.3,1428,46.3,175,No Failure
1319,NED 15,M,299,310.3,1582,33.3,177,No Failure
1320,SM 4,L,299,310.3,1929,24.4,180,No Failure
1321,NED 15,M,299,310.3,1540,38.1,182,No Failure
1322,SM 4,L,298.9,310.2,1362,53,185,No Failure
1323,SM 1,H,298.9,310.1,1452,49.9,187,No Failure
1324,SM 4,L,298.9,310.1,1361,51.7,192,No Failure
1325,NED 15,M,298.8,310.1,1243,74.5,194,Power Failure
1326,SM 1,H,298.8,310.1,1567,36.8,197,No Failure
1327,SM 4,L,298.9,310.2,1411,46.5,202,No Failure
1328,SM 4,L,298.8,310.2,1814,26.8,204,No Failure
1329,NED 15,M,298.8,310.1,1719,28.8,206,No Failure
1330,SM 1,H,298.8,310.2,1663,30.4,209,No Failure
1331,SM 4,L,298.9,310.2,1696,30.2,214,No Failure
1332,SM 1,H,298.9,310.2,1771,26.8,216,No Failure
1333,SM 4,L,299,310.3,1868,24,221,No Failure
1334,NED 15,M,299,310.3,1558,35.4,223,No Failure
1335,SM 4,L,299,310.4,1365,49.1,226,Overstrain Failure
1336,SM 4,L,299,310.4,1371,53.8,228,Overstrain Failure
1337,SM 4,L,298.9,310.3,1583,32.6,230,No Failure
1338,SM 1,H,298.7,310.2,1613,36,0,No Failure
1339,SM 4,L,298.6,310.1,1721,27.2,5,No Failure
1340,NED 15,M,298.6,310.2,1668,31.5,7,No Failure
1341,SM 4,L,298.6,310.2,1569,36.3,10,No Failure
1342,M15104,M,298.6,310.2,1328,50.5,12,No Failure
1343,NED 15,M,298.6,310.1,1596,33,15,No Failure
1344,SM 4,L,298.5,310.2,1676,32.7,18,No Failure
1345,SM 4,L,298.5,310.1,1809,28.9,20,No Failure
1346,SM 4,L,298.5,310,1804,26.1,22,No Failure
1347,SM 4,L,298.6,310.1,1533,33.9,24,No Failure
1348,SM 4,L,298.7,310.2,1717,27.3,26,No Failure
1349,SM 4,L,298.7,310.2,1363,45.5,28,No Failure
1350,SM 4,L,298.7,310.2,1402,45.9,30,No Failure
1351,SM 4,L,298.7,310.2,1436,47.5,32,No Failure
1352,SM 4,L,298.7,310.2,1525,43.7,34,No Failure
1353,NED 15,M,298.7,310.2,1598,33.3,36,No Failure
1354,NED 15,M,298.6,310.1,1444,48.1,39,No Failure
1355,SM 4,L,298.6,310,1334,48,42,No Failure
1356,NED 15,M,298.6,310,1681,35.5,44,No Failure
1357,SM 4,L,298.6,309.9,1593,37.4,47,No Failure
1358,SM 4,L,298.6,309.9,1461,45.7,49,No Failure
1359,NED 15,M,298.7,310.1,1693,31.9,51,No Failure
1360,SM 4,L,298.7,310.2,1404,50.3,54,No Failure
1361,SM 1,H,298.8,310.2,1707,27.6,56,No Failure
1362,NED 15,M,298.6,310.1,1458,41.9,61,No Failure
1363,SM 4,L,298.6,310,1517,41.2,64,No Failure
1364,SM 4,L,298.7,310.1,1433,54.6,66,No Failure
1365,SM 4,L,298.7,310.2,1566,33.1,68,No Failure
1366,SM 4,L,298.7,310.1,1676,33.5,70,No Failure
1367,M15105,M,298.7,310.1,1368,56.8,72,No Failure
1368,NED 15,M,298.8,310.2,1581,37.5,75,No Failure
1369,SM 1,H,298.8,310.3,1708,27.1,78,No Failure
1370,NED 15,M,298.7,310.3,1481,41.5,83,No Failure
1371,SM 4,L,298.7,310.3,1451,40,86,No Failure
1372,NED 15,M,298.7,310.3,1495,38.7,88,No Failure
1373,NED 15,M,298.8,310.3,1573,41.8,91,No Failure
1374,NED 15,M,298.8,310.3,1366,59,94,No Failure
1375,SM 4,L,298.8,310.3,1553,36.8,97,No Failure
1376,NED 15,M,298.8,310.3,1528,37.1,99,No Failure
1377,M15106,M,298.8,310.2,1527,31.2,102,No Failure
1378,SM 4,L,298.8,310.2,1461,46.7,105,No Failure
1379,SM 1,H,298.8,310.2,1455,44.9,107,No Failure
1380,SM 4,L,298.7,310.1,1620,34.8,112,No Failure
1381,SM 4,L,298.7,310.1,1786,27.7,114,No Failure
1382,NED 15,M,298.8,310.2,1583,35.7,116,No Failure
1383,SM 4,L,298.8,310.1,1653,30.3,119,No Failure
1384,NED 15,M,298.9,310.2,1331,49,121,No Failure
1385,SM 4,L,298.9,310.3,1484,43.8,124,No Failure
1386,NED 15,M,298.9,310.2,1603,36.1,126,No Failure
1387,SM 4,L,298.9,310.2,1445,40,129,No Failure
1388,SM 4,L,298.9,310.1,1823,26.1,131,No Failure
1389,SM 1,H,298.9,310.1,1491,45.3,133,No Failure
1390,SM 4,L,298.9,310.2,1533,42.8,138,No Failure
1391,SM 4,L,298.9,310.2,1409,54.8,140,No Failure
1392,SM 4,L,298.9,310.2,2737,8.8,142,Power Failure
1393,NED 15,M,299,310.3,1494,46.6,144,No Failure
1394,SM 4,L,299.1,310.4,1594,33.3,147,No Failure
1395,SM 4,L,299.1,310.4,1527,44,149,No Failure
1396,SM 4,L,299.1,310.4,1452,39.7,151,No Failure
1397,SM 4,L,299,310.3,1483,39.2,153,No Failure
1398,SM 4,L,299.1,310.2,1569,38.2,155,No Failure
1399,SM 4,L,299.1,310.3,1472,46.6,157,No Failure
1400,SM 4,L,299,310.2,1533,43.5,159,No Failure
1401,SM 1,H,298.9,310.1,1366,62.7,161,No Failure
1402,SM 1,H,298.9,310.2,1532,37.7,166,No Failure
1403,NED 15,M,298.9,310.1,1313,56.8,171,No Failure
1404,SM 4,L,299,310.2,1372,48,174,No Failure
1405,NED 15,M,298.9,310.1,1555,40.6,176,No Failure
1406,SM 4,L,298.9,310.1,1394,42.7,179,No Failure
1407,SM 4,L,298.9,310.1,1442,48,181,No Failure
1408,SM 4,L,298.9,310,1564,33.8,183,No Failure
1409,SM 4,L,298.9,310,1452,48.9,185,No Failure
1410,SM 4,L,298.9,310.1,1466,42.5,187,No Failure
1411,M15107,M,298.9,310.1,1469,53.2,189,No Failure
1412,SM 4,L,298.9,310.1,1944,23.4,192,No Failure
1413,NED 15,M,298.8,309.9,1415,53.2,194,No Failure
1414,NED 15,M,298.7,309.8,1528,36.7,197,No Failure
1415,NED 15,M,298.7,309.8,1570,42.1,200,No Failure
1416,SM 4,L,298.7,309.9,1617,33,203,No Failure
1417,NED 15,M,298.7,309.9,2083,18.2,205,No Failure
1418,SM 4,L,298.7,309.9,1541,38.5,208,No Failure
1419,SM 4,L,298.8,309.9,1320,47.4,210,No Failure
1420,SM 4,L,298.7,309.8,1354,53.3,212,Overstrain Failure
1421,NED 15,M,298.8,309.9,1495,35.2,214,No Failure
1422,SM 4,L,298.7,309.8,1589,31.8,217,No Failure
1423,SM 4,L,298.7,309.8,1530,35.5,0,No Failure
1424,SM 4,L,298.7,309.8,1539,33.4,2,No Failure
1425,SM 4,L,298.7,309.7,1462,46.8,4,No Failure
1426,SM 4,L,298.6,309.7,1356,54,6,No Failure
1427,NED 15,M,298.7,309.7,1622,34.6,8,No Failure
1428,SM 4,L,298.7,309.8,1394,40.3,11,No Failure
1429,SM 4,L,298.8,309.9,1568,33.7,13,No Failure
1430,M15108,M,298.9,310,1456,43.8,15,No Failure
1431,SM 4,L,298.9,310,1378,49.3,18,No Failure
1432,NED 15,M,298.9,309.9,1404,41.4,20,No Failure
1433,SM 4,L,298.8,309.8,1437,42.8,23,No Failure
1434,SM 4,L,298.8,309.8,1363,44,25,No Failure
1435,NED 15,M,298.8,309.8,1377,49.6,27,No Failure
1436,SM 1,H,298.8,309.9,1526,42.1,30,No Failure
1437,SM 1,H,298.8,309.8,1510,44.2,35,No Failure
1439,SM 4,L,298.8,309.9,1482,39.1,45,No Failure
1440,NED 15,M,298.8,309.8,1534,37,47,No Failure
1441,NED 15,M,298.8,309.9,1741,27.7,50,No Failure
1442,SM 4,L,298.8,309.9,1550,38.8,53,No Failure
1443,NED 15,M,298.8,310,1486,38.5,55,No Failure
1444,SM 4,L,298.9,310.1,1602,38.2,58,No Failure
1445,SM 4,L,299,310.2,1477,37.9,60,No Failure
1446,SM 4,L,299,310.1,1618,29.2,62,No Failure
1447,NED 15,M,299,310.2,1628,35.8,64,No Failure
1448,M15109,M,299,310.3,1662,33.6,67,No Failure
1449,NED 15,M,299,310.3,1657,31,70,No Failure
1450,SM 1,H,299,310.4,1677,30.8,73,No Failure
1451,NED 15,M,299,310.3,1447,39.9,78,No Failure
1452,SM 4,L,298.9,310.4,1831,25.4,81,No Failure
1453,SM 4,L,299,310.3,1584,34.4,83,No Failure
1454,SM 4,L,299.1,310.4,1450,40.9,85,No Failure
1455,SM 4,L,299.1,310.4,1428,46.9,87,No Failure
1456,SM 4,L,299,310.4,1382,53,89,No Failure
1457,SM 4,L,299,310.3,1501,43,91,No Failure
1458,SM 4,L,299,310.3,1475,42.4,93,No Failure
1459,SM 4,L,298.9,310.3,1364,54,95,No Failure
1460,SM 4,L,299,310.3,1472,36.1,97,No Failure
1461,SM 4,L,299,310.3,1437,47.8,99,No Failure
1462,SM 4,L,298.9,310.2,1491,45.1,101,No Failure
1463,SM 4,L,298.9,310.2,1706,27.6,103,No Failure
1464,SM 4,L,298.8,310.1,1607,39.5,105,No Failure
1465,SM 4,L,298.8,310,1412,46.3,107,No Failure
1466,SM 4,L,298.7,309.8,1546,40.9,109,No Failure
1467,SM 4,L,298.7,309.8,1365,50.5,111,No Failure
1468,SM 4,L,298.6,309.8,1544,30.2,113,No Failure
1469,NED 15,M,298.6,309.8,1419,44.9,115,No Failure
1470,SM 4,L,298.6,309.8,1497,41.6,118,No Failure
1471,SM 4,L,298.5,309.7,1437,42.6,120,No Failure
1472,SM 4,L,298.5,309.6,1421,53.6,122,No Failure
1473,NED 15,M,298.5,309.6,1438,44.5,124,No Failure
1474,NED 15,M,298.5,309.5,1315,48.9,127,No Failure
1475,NED 15,M,298.5,309.5,1366,61.9,130,No Failure
1476,M15110,M,298.4,309.5,1519,35.4,133,No Failure
1477,SM 4,L,298.4,309.5,1692,28.3,136,No Failure
1478,SM 4,L,298.3,309.4,1570,35.6,138,No Failure
1479,SM 4,L,298.3,309.4,1568,35.8,140,No Failure
1480,SM 4,L,298.2,309.3,1355,43.8,142,No Failure
1481,NED 15,M,298.2,309.3,2056,18.7,144,No Failure
1482,NED 15,M,298.2,309.2,1332,60.2,147,No Failure
1483,NED 15,M,298.1,309.1,1448,52.5,150,No Failure
1484,SM 4,L,298,308.9,1578,35.6,153,No Failure
1485,NED 15,M,298,309,1562,39.2,155,No Failure
1486,NED 15,M,298.1,309,1976,19.3,158,No Failure
1487,NED 15,M,298.2,309.2,1524,34.6,161,No Failure
1488,SM 4,L,298.2,309.1,1429,48.5,164,No Failure
1489,SM 4,L,298.2,309.1,1568,36.3,166,No Failure
1490,M15111,M,298.2,309,1723,26.6,168,No Failure
1491,SM 4,L,298.2,309,1341,43.8,171,No Failure
1492,NED 15,M,298.1,308.9,1353,46.2,173,No Failure
1493,NED 15,M,298,308.7,1479,58.5,176,Power Failure
1494,SM 4,L,298,308.8,1496,44.9,179,No Failure
1495,NED 15,M,298,308.7,1377,48.5,181,No Failure
1496,SM 1,H,297.9,308.5,1383,44.6,184,No Failure
